Stock Name,Stock Code,Note,Listing Date,Lot Size,Market Cap(B),Offer Price,Listing Price,Over-subscription Rate(x),Lots for 1 Lot,1-Lot Success Rate,Last Price,Debut Day Chg%,Accumulated Chg%
COFOE MEDICAL,01187.HK,Sink Below Listing Price,2026/05/06,100,,39.33,39.33,398.1,2000 lot,5.0%,38.3,-1.090%,-2.619%
STAR SPORTS MED,01609.HK,,2026/05/05,50,,98.5,98.5,"7,822.1",,1.5%,215.8,+118.270%,+119.086%
SUNMI TECH-W,06810.HK,,2026/04/29,100,,24.86,24.86,"2,002.2",1500 lot,5.0%,79.8,+241.110%,+220.998%
XIZHI TECH-P,01879.HK,,2026/04/28,15,15.32-16.85,183.2,183.2,"5,783.7",2000 lot,6.0%,882.5,+383.620%,+381.714%
MABWELL-B,02493.HK,Sink Below Listing Price,2026/04/28,200,12.35-13.72,27.64,27.64,480.7,350 lot,1.0%,27.56,+0.580%,-0.289%
HUAQIN,03296.HK,,2026/04/23,100,,77.7,77.7,530.3,700 lot,12.0%,105.6,+13.260%,+35.907%
VGT,02476.HK,,2026/04/21,100,,209.88,209.88,387.0,700 lot,0.7%,334.0,+50.090%,+59.139%
MANYCORE TECH,00068.HK,,2026/04/17,500,11.60-13.15,7.62,7.62,"1,589.6",1800 lot,3.0%,24.3,+144.090%,+218.898%
GPIXEL,03277.HK,,2026/04/17,100,,39.88,39.88,"1,137.2",2000 lot,1.0%,84.0,+75.530%,+110.632%
YOUZAN,06051.HK,,2026/04/17,"4,000",,,,,,,0.126,,-23.171%
SIGENERGY,06656.HK,,2026/04/16,100,,324.2,324.2,"1,101.1",5000 lot,2.0%,543.5,+103.420%,+67.643%
TONGSHIFU,00664.HK,Sink Below Listing Price,2026/03/31,100,3.86-4.38,60.0,60.0,58.6,45 lot,2.8%,21.6,-49.170%,-64.000%
FOURSEMI,03625.HK,,2026/03/31,100,4.48-5.60,40.0,40.0,"3,117.4",800 lot,5.0%,135.3,+100.000%,+238.250%
HUAYAN ROBOTICS,01021.HK,,2026/03/30,200,,17.0,17.0,"5,058.4",1500 lot,5.0%,19.03,+8.240%,+11.941%
DIAGENS-B,02526.HK,,2026/03/30,50,8.50-10.00,99.0,99.0,"1,072.4",1400 lot,3.0%,314.0,+111.720%,+217.172%
EPIWORLD,02726.HK,,2026/03/30,50,,76.26,76.26,49.7,40 lot,20.0%,108.3,+35.060%,+42.014%
EXTREME VISION,06636.HK,,2026/03/30,50,,40.0,40.0,"4,590.4",3000 lot,10.0%,99.05,+150.000%,+147.625%
NEW VISION CO,02632.HK,,2026/03/24,50,5.18-5.92,44.2,44.2,67.9,60 lot,30.0%,100.3,-36.920%,+126.923%
GALAXIS TECH,02729.HK,,2026/03/24,200,7.02-8.73,16.66,16.66,"2,152.3",3500 lot,5.0%,35.46,+84.270%,+112.845%
FS.COM,03355.HK,,2026/03/23,100,14.28-16.88,41.6,41.6,"1,578.7",,1.0%,42.52,+13.460%,+2.212%
NSING TECH,02701.HK,,2026/03/23,200,,10.8,10.8,130.8,350 lot,30.0%,13.06,+4.170%,+20.926%
DELTON,01989.HK,,2026/03/20,100,,71.88,71.88,"1,069.7",2000 lot,5.0%,208.4,+33.560%,+189.928%
VOYAH AUTO,07489.HK,,2026/03/19,"1,000",,,,,,,5.82,,-22.400%
MEIG,03268.HK,Sink Below Listing Price,2026/03/10,100,,28.86,28.86,173.1,100 lot,5.0%,22.94,+1.520%,-20.513%
ALSCO POOLING,02649.HK,Sink Below Listing Price,2026/03/09,500,0.99-1.26,11.0,11.0,"5,296.2",,0.0%,3.9,-43.640%,-64.545%
ZHAOWEI,02692.HK,Sink Below Listing Price,2026/03/09,100,,71.28,71.28,"1,535.8",3000 lot,4.0%,67.4,+2.410%,-5.443%
ESTUN,02715.HK,Sink Below Listing Price,2026/03/09,200,14.87-16.45,15.36,15.36,18.7,25 lot,5.0%,14.5,-16.020%,-5.599%
HAIZHI TECH GP,02706.HK,,2026/02/13,200,10.25-11.21,27.06,27.06,"5,064.1",,0.1%,47.26,+242.200%,+74.649%
WOER,09981.HK,Sink Below Listing Price,2026/02/13,200,,20.09,20.09,568.6,350 lot,0.3%,16.2,+2.940%,-19.363%
WUXI LEAD,00470.HK,,2026/02/11,100,,45.8,45.8,78.5,40 lot,18.0%,57.65,0.000%,+25.873%
RIDGE OUTDOOR,02720.HK,,2026/02/10,500,1.44-1.57,12.25,12.25,"3,653.2",,1.0%,24.88,+102.290%,+103.102%
AXERA,00600.HK,Sink Below Listing Price,2026/02/10,100,,28.2,28.2,103.8,50 lot,18.0%,22.9,0.000%,-18.794%
MONTAGE TECH,06809.HK,,2026/02/09,100,,106.89,106.89,706.3,1000 lot,5.0%,333.0,+63.720%,+211.535%
DISTINCT HEALTH,02677.HK,Sink Below Listing Price,2026/02/06,50,3.73-4.30,59.9,59.9,"2,729.7",,1.0%,28.5,+13.360%,-52.421%
MUYUAN,02714.HK,,2026/02/06,100,,39.0,39.0,4.9,1 lot,100.0%,42.2,+3.900%,+8.205%
HANS CNC,03200.HK,,2026/02/06,100,,95.8,95.8,445.4,600 lot,10.0%,142.8,+14.820%,+49.061%
GON TECHNOLOGY,02768.HK,,2026/02/04,200,10.24-12.65,36.0,36.0,"2,250.9",5500 lot,2.0%,48.0,+11.560%,+33.333%
EASTROC,09980.HK,Sink Below Listing Price,2026/02/03,100,,248.0,248.0,56.5,60 lot,15.0%,169.0,+1.530%,-31.855%
BUSYMING,01768.HK,,2026/01/28,100,50.02-51.54,236.6,236.6,"1,898.5",,3.0%,452.6,+69.060%,+91.293%
LONGCHEER,09611.HK,Sink Below Listing Price,2026/01/22,100,,31.0,31.0,"1,148.8",500 lot,0.2%,22.82,+3.550%,-26.387%
BBSB INTL,08610.HK,,2026/01/13,"4,000",0.30-0.35,0.6,0.6,"10,744.1",,0.1%,0.61,+11.670%,+1.667%
HX COLDCHAIN,01641.HK,Sink Below Listing Price,2026/01/13,500,,12.26,12.26,"2,308.3",,1.0%,6.68,+0.330%,-45.514%
GIGADEVICE,03986.HK,,2026/01/13,100,92.55-113.58,162.0,162.0,541.2,600 lot,2.0%,513.5,+37.530%,+216.975%
OMNIVISION,00501.HK,Sink Below Listing Price,2026/01/12,100,,104.8,104.8,8.3,1 lot,100.0%,88.3,+16.220%,-15.744%
